raw,result
06618,0
45855,4
32106,0
71189,0
57533,0
39413,0
53510,5
90175,1
89386,0
56698,0
94492,0
83430,4
59242,1
51787,0
26783,0
42115,0
77169,4
54391,1
83271,1
09286,0
94293,0
21575,0
08739,0
32825,0
53738,0
25332,7
27108,1
51762,1
93998,0
20077,2
99445,0
21418,0
61803,0
27666,0
66864,0
13165,0
05084,0
70455,0
92596,0
72142,10
02571,1
49733,0
42651,2
27104,0
49994,0
77270,0
07763,0
30070,0
91611,6
85305,0
42734,0
02352,3
60351,0
30817,0
36309,0
44738,0
72692,0
17733,0
67623,0
88075,0
24532,0
03340,10
84644,0
04569,0
46758,0
08093,0
10454,0
08614,0
53547,7
25869,0
10349,0
47045,3
78061,0
30848,0
78218,0
93527,0
88582,0
43887,0
78584,0
17724,0
96198,0
23703,0
24882,0
50653,0
94750,0
52392,0
69931,0
96342,0
52554,0
27436,18
27523,1
98904,0
47037,0
12034,0
16491,0
48946,0
48156,0
37515,7
68900,0
81050,0
15270,0
94696,4
52729,1
14513,0
12239,2
12069,1
61701,0
55701,0
36981,0
83055,0
99655,0
82522,0
57116,7
51338,0
98042,0
54079,0
75328,0
57359,0
63721,6
02102,1
28791,1
90065,1
29202,0
51796,0
28262,0
50201,4
73220,1
22331,1
25438,0
29509,0
10396,0
43259,0
13626,0
99812,6
01455,1
02825,1
05857,0
81898,0
16838,0
90302,0
64856,5
52070,0
09640,0
37418,3
28915,0
98601,2
15528,0
54688,0
09836,3
88987,0
14018,2
71261,0
70320,0
26711,0
51020,0
09043,5
24423,1
92529,0
91712,2
04579,1
80658,0
58221,0
86072,3
08845,0
04083,0
73197,3
46309,1
49807,0
78313,2
44574,0
71274,0
13990,0
14969,0
51987,0
57181,6
30909,1
81883,0
70548,2
62954,1
91512,0
52227,0
30339,3
62933,1
60290,0
68768,0
17520,0
77362,4
32995,0
37547,0
09193,0
51670,4
45720,1
18374,0
06221,0
26251,0
56652,4
66723,1
55398,1
27280,0
57480,0
81924,0
09630,0
57107,0
32527,0
97495,7
02448,0
52086,0
30544,3
42757,0
17199,0
05595,0
33885,0
92151,0
36320,0
18594,7
99448,0
64966,0
20819,3
97028,1
89682,1
33618,1
93905,0
24507,0
08755,0
11846,0
56667,0
72284,
14471,0
94876,0
29254,3
20047,0
20406,0
10033,0
42523,0
26245,5
97913,1
67650,1
21556,0
02709,0
25985,3
81447,0
86751,0
02690,0
62953,0
31102,0
39245,6
02330,0
90895,2
96602,0
64233,0
31980,3
32336,0
37456,0
03710,3
63474,0
22450,0
70380,0
04363,4
53797,0
03982,0
12114,3
30192,1
63805,0
34712,0
25722,0
84885,0
74777,5
46791,0
46147,2
58328,0
79980,0
34089,0
67876,0
13221,5
56069,1
00529,0
16652,0
16102,0
24290,4
47809,0
77081,0
48993,0
46306,4
18634,0
93496,2
27474,1
07860,0
73226,0
73329,0
64074,4
16297,0
89981,0
80173,0
91396,0
93143,0
82017,0
91781,0
35169,8
26068,0
64905,0
21224,0
64280,0
85369,5
72011,0
63520,2
91203,0
57022,2
70672,1
81126,0
09866,0
24897,0
12188,0
80577,0
89736,0
46663,0
02458,0
99299,0
45706,0
65743,0
99905,12
67263,0
33885,2
81644,0
97964,0
35231,0
48660,0
26143,5
96162,0
94134,0
38203,3
73839,0
18251,2
33941,1
34881,1
47229,0
39883,0
94795,3
25532,0
31135,2
75615,1
61095,1
11848,0
52701,0
56137,0
20396,0
13261,0
81153,6
53594,0
69321,2
97269,0
65308,0
17503,3
76834,0
96719,0
89776,0
10606,0
58998,0
31617,0
29953,7
54175,0
51310,0
17553,0
89178,0
79199,5
23780,0
09705,0
38822,0
11575,0
44052,0
11256,0
00680,0
11249,8
41873,0
85295,2
41946,0
53423,0
02274,0
07299,4
08375,0
98175,0
89285,0
97616,0
54215,0
25226,0
74803,0
74170,0
66889,9
45696,0
68966,0
07497,0
70170,4
00382,0
71909,0
40800,3
40808,1
37856,0
14204,2
89843,0
24008,2
59303,1
36812,1
30929,0
28524,0
53203,0
13753,0
45031,5
04093,1
94470,1
14760,0
52390,0
62526,0
05840,0
62685,0
92800,0
07480,0
69918,0
96852,9
29315,1
78788,0
60302,0
17258,0
96454,0
69360,0
29724,0
84390,0
76771,8
77953,1
16309,1
71681,0
78006,0
46777,0
10874,0
47561,0
93624,0
47410,7
44061,0
05484,2
81342,0
01549,0
83512,0
07915,0
56939,0
23595,0
46152,0
19339,0
29611,9
82830,0
09712,0
60731,3
50264,0
06280,0
55029,0
12358,0
01145,0
18901,0
45367,0
84781,0
52756,9
89925,1
80845,1
70875,1
71597,1
76673,0
50575,2
97277,0
78726,0
90458,3
21172,0
34352,0
87393,0
61122,0
33069,0
62910,0
03266,7
85930,0
96327,0
14634,0
51347,0
81039,0
56026,6
13019,1
17021,0
09547,0
54309,0
36688,0
76620,0
78836,6
78460,0
27442,0
31271,0
55458,4
63444,1
60631,0
85638,2
38033,0
67959,0
83678,0
35949,0
91638,0
15314,6
73685,0
68906,0
96260,0
43637,0
79376,0
97763,6
76869,0
67734,0
39166,3
52538,0
29257,0
39764,0
41537,0
38803,0
06465,0
60544,0
92523,0
79436,9
79172,0
90485,0
28541,0
75273,4
76377,0
82870,0
91516,0
96155,0
14707,0
20701,6
22392,0
69436,0
91562,0
67755,0
42813,0
73560,6
24724,0
21522,0
99733,3
71710,0
77137,2
67178,0
25784,0
90414,0
18290,0
89278,0
18258,0
25056,0
96492,0
06575,0
84520,0
73006,0
54226,0
59729,0
08718,0
38419,0
22579,0
70784,0
86782,0
50330,0
96709,0
95606,0
72031,22
80810,1
83750,1
50990,1
45835,1
40001,0
06179,0
26767,0
65328,4
03435,0
42948,2
90098,0
05545,2
98164,1
71681,0
70440,0
26466,0
22899,4
71330,0
51197,0
43878,3
52690,0
28429,0
44918,3
74040,0
57963,0
83841,3
13217,0
68109,2
75722,0
93192,0
40093,0
89447,4
26722,0
42194,2
79913,0
70459,2
03092,0
75993,2
40138,0
58243,0
25245,3
91626,0
30309,2
15220,0
18481,0
64725,0
05407,0
24895,0
15225,0
09822,7
22690,0
57380,0
35135,3
73083,0
11977,0
29761,0
29981,0
44273,0
57781,0
87891,0
15270,8
76808,0
08340,2
09911,0
86600,0
33346,0
56312,0
23535,0
50397,6
97860,0
11335,2
14177,0
99796,0
46945,3
84485,1
11961,0
50613,0
52177,0
18430,0
74900,0
10582,0
45847,0
61887,0
74273,0
39232,0
22917,0
65071,0
38807,0
66782,0
95132,0
19231,0
03237,0
78349,0
07990,0
96700,0
38526,0
70574,22
55645,0
95466,2
05593,0
35790,0
43747,0
77930,0
93863,0
04417,0
70672,0
70080,0
55117,0
24194,10
28424,0
79892,0
16267,3
37674,0
45618,0
78565,0
55262,4
64843,0
62683,0
46569,0
86405,4
43947,0
19255,2
05719,0
32418,0
30228,0
74605,4
91190,1
77160,1
60015,0
61497,0
27625,0
25963,0
52420,5
91282,1
69771,1
21132,1
35336,0
51353,0
53287,0
64288,4
53796,0
83758,2
61541,0
81342,0
35431,0
81001,0
28469,0
95278,6
01020,1
54494,0
22900,2
17183,0
13555,0
66895,0
80638,4
54265,0
24895,0
62032,0
10754,0
47814,0
52017,0
35597,0
35110,0
58973,9
52441,0
